# PIP_Player1 PIP_Player2 Win_Prob_Player1

# gnuplot> set dgrid3d 50,50,50
# set contour base
# splot 'pip2winning.dat' using 1:2:(($3-.1)/.8) with points pt 7 ps .3 palette
# set cntrparam bspline
# set cntrparam levels 9



35 13 0.108000
13 29 0.900000
29 10 0.106400
10 17 0.896800
17 5 0.101600
5 12 0.900000
12 3 0.100000
3 8 0.900000
8 1 0.100000
1 5 0.900000
5 0 0.100000
133 106 0.242400
106 113 0.645600
113 101 0.407200
101 106 0.644000
106 97 0.436000
97 97 0.564000
97 93 0.519200
93 90 0.535200
90 82 0.429600
82 81 0.532000
81 70 0.397600
70 72 0.605600
72 62 0.384800
62 64 0.591200
64 54 0.400800
54 54 0.581600
54 43 0.354400
43 46 0.616800
46 40 0.418400
40 41 0.589600
41 33 0.453600
33 34 0.616800
34 29 0.528800
29 26 0.448800
26 23 0.672800
23 19 0.276000
19 17 0.736800
17 15 0.367200
15 14 0.660000
14 9 0.341600
9 10 0.762400
10 6 0.264800
6 6 0.802400
6 2 0.218400
2 3 0.900000
3 0 0.100000
109 82 0.199200
82 98 0.796000
98 74 0.220000
74 89 0.773600
89 63 0.181600
63 86 0.863200
86 55 0.154400
55 78 0.869600
78 45 0.117600
45 69 0.885600
69 39 0.128800
39 59 0.869600
59 32 0.117600
32 48 0.871200
48 25 0.127200
25 45 0.879200
45 20 0.136800
20 37 0.876000
47 80 0.892000
80 39 0.108000
39 74 0.895200
74 28 0.101600
28 65 0.895200
82 77 0.608800
77 78 0.512800
78 72 0.596000
72 74 0.485600
74 67 0.576800
67 65 0.413600
65 60 0.613600
60 55 0.333600
55 53 0.676000
53 31 0.114400
31 49 0.892000
49 22 0.100000
22 39 0.900000
39 18 0.101600
18 36 0.900000
36 14 0.103200
14 23 0.893600
23 8 0.103200
8 18 0.900000
18 5 0.100000
5 7 0.900000
7 1 0.100000
1 3 0.900000
3 0 0.100000
95 92 0.493600
92 90 0.559200
90 72 0.279200
72 85 0.735200
85 63 0.266400
63 75 0.749600
75 57 0.261600
57 70 0.746400
70 52 0.319200
52 63 0.722400
63 46 0.311200
46 60 0.799200
60 27 0.127200
27 54 0.882400
54 22 0.114400
22 42 0.868000
42 12 0.103200
111 107 0.519200
107 107 0.554400
107 100 0.444000
100 97 0.517600
97 92 0.448800
92 92 0.581600
92 84 0.405600
84 81 0.544800
81 80 0.501600
80 75 0.544800
75 73 0.532000
73 67 0.455200
67 70 0.637600
70 58 0.328800
58 61 0.671200
61 50 0.298400
50 54 0.717600
